id,target
4941,5391569.788914558
51775,1037450.510747689
115253,2415118.8472265704
299321,1222533.381211908
173570,556162.0043424476
30862,1167969.108022051
244471,2255573.5271073575
127794,580625.6943646052
71558,2796627.5341789164
218011,901910.8324676341
148208,3336986.605591668
155735,597546.4098214278
100698,3534424.421694496
241403,1662522.7664899926
195272,2431517.604478869
238663,1489456.719567095
262957,5456894.588466259
207082,1305881.9488542755
298896,384076.2477305179
220946,730535.5494512989
74581,963138.2565733974
253578,6649159.713951337
47620,2574837.2163044084
92772,2192329.7994036833
116904,2142396.466693041
208352,4489323.842712418
76044,1778780.2674542987
202667,693435.6508811582
62134,5431816.887771862
277353,3549901.3515878455
64194,3958660.5306430957
295822,4408702.147912874
27391,1929089.4243128998
203500,897280.7871366517
264505,1164743.7909840592
297455,1651519.4054262019
137985,981286.9093808024
47622,3266184.0191313946
21911,1106053.334562294
94181,2613265.940561414
68117,1432965.2128104493
39648,737883.130137967
73722,2831815.7136172517
133456,863746.4555530438
30763,8521416.462311042
58096,571661.5335383766
126979,1936794.4236576247
149636,1512717.9942284268
27810,2633243.3081832756
272001,5649175.2244594665
114617,4470693.874834806
190693,5885687.870613408
219814,2004957.0104318687
67164,3577475.0190810245
83961,4438379.34705111
254122,2510313.462925086
141378,5822858.545509624
151754,1155950.8063306806
125013,794252.8607357384
273552,1061089.1684270184
201853,1102663.0974704723
99511,2855735.9009831394
25140,6459428.206301961
7603,1022027.0565724593
84095,3216034.671673159
84071,3318594.8611516585
151177,1840880.8618220475
294081,1122896.5894753817
88694,1766077.987147386
99932,1343999.0021943732
14442,756414.4623478407
162220,1550002.085998183
163631,4494522.782064597
49023,1224727.8243302691
80644,6703827.041813752
274016,1664145.872524385
64876,1055463.369727891
156696,5811897.986004365
295991,1827653.338593257
192037,3241061.6666727196
118765,1243763.6468094455
94748,2801593.1315764366
251764,4235059.258686779
60381,537615.9183242063
283938,582158.6099466286
195995,442156.95422385086
112778,1786822.7786832226
76727,1517486.727726531
21435,1706862.8639607343
17468,3377796.3768813754
225673,3573536.5721255643
79759,2952867.6136050113
257599,1174297.0639982496
270720,2957778.8406461114
153801,4172228.455599433
92266,4077619.2772653275
207329,5541567.974059105
243955,3589840.70286212
288928,5542868.5981936855
186600,3317448.6384287677
48005,1006147.2620064911
212520,1638039.4822288859
294075,813089.8563925112
131575,1773778.9231935053
202057,2933068.98312298
239160,1261441.2224471706
92611,1160444.3411450926
268351,2271456.7465786124
259109,1766149.6947146193
265328,1311620.6120547524
229144,1475327.6710560978
261302,2032770.718246458
84117,2475057.5239981594
31189,4988293.814893439
107254,2032989.254387412
192798,1493463.3189234582
28083,2643631.0333033944
118789,3466205.100981748
2152,5834421.67338094
287026,1109252.2685050047
249169,2053245.6270112996
137539,3536131.095880797
46291,365306.4515553466
30233,4141721.317639802
175145,1246470.4402035584
50676,665484.0701538583
71570,1841610.0875296295
219843,2442740.164403941
36279,3896871.8173087365
66052,651720.6850901622
252609,2184901.2499420745
24783,6736459.3837882215
299327,4059992.83586227
95349,5024019.434128136
46332,701549.5172424088
91240,2734776.7952267407
5445,1292813.072146012
272876,1315340.5065184147
43811,1448763.4477632393
217082,5434881.239641913
100370,4640284.326120157
258874,670084.1204722637
121949,815352.9197458642
212950,490691.69332520256
200057,3171367.8701312817
229177,1462961.4276052804
287838,515278.15391295217
213118,2453298.257032885
176475,903306.6164182469
118176,7931803.067314519
209024,2044084.6390175698
221906,2344439.155101217
42493,2193256.6845015013
223728,1297350.1905923926
141993,4355422.707246927
55675,2779690.539525716
224087,2925755.984296115
83655,1186748.2770719114
61917,2389800.926521885
153665,2314927.5878203167
155758,8214616.590930231
190393,7507757.063788306
231050,850093.7685305784
201122,4644698.23708438
59267,691728.0523499653
262487,6938690.640752353
188582,3131009.5789563167
131814,786197.1878562946
73949,3100582.251761767
154308,10287480.738331899
167194,786789.7559939743
277393,2153369.088241817
196835,1953118.1440879065
91690,1654599.6664930107
162086,2238830.872951494
231058,2923479.6874850867
54120,5104422.534242412
247858,3948057.0177182686
98092,813941.1370233408
271915,3282593.4916424057
44677,1667661.9002076522
56078,951270.580526584
129375,6453484.051107362
133361,5357613.747117684
85866,1790626.0363697908
191559,580341.6871315233
218728,1249300.4038020736
208771,3054692.5618236875
109195,1049742.0843379614
39549,1101256.816949263
169828,1811642.9095519967
57416,2549428.1700590462
33193,5296217.239123442
173865,3183907.2557323244
50919,2574868.89760469
108504,1609940.1420198574
72963,2191132.280013402
270712,1336864.9229421562
63504,1544254.6568871872
26896,1351560.693821622
261152,1330440.9764971193
8838,609165.425591012
16064,7804895.2170673385
107661,2561596.5313990326
130161,2090691.834909518
179573,3757685.797577872
116121,672306.0077160376
32234,413429.8023555225
191736,1038243.2281940684
57456,2131183.111121592
160502,1441419.7271893998
215795,1387453.6096941056
126714,3932720.851590669
173047,428147.70458385686
97726,2498162.8325811736
193811,1171125.1887552768
17156,1051658.5925912452
71055,758242.7044859717
193990,957823.1110144062
52059,2610495.347130447
274757,3445220.397001477
1558,5420164.365184594
253081,489151.95550157863
181909,2227202.333675532
145269,1924039.4100301026
186660,5533733.871680236
6479,1485837.4160324233
249414,690296.1320466923
43182,513264.3580556972
248529,3592207.141908945
125724,3169048.690812957
214268,1720547.3966416512
270767,2172814.261700393
141103,2361904.069024175
292203,8283724.139170294
62008,2100771.5921355593
89122,926852.0404529517
47736,5938614.418511181
222505,3954448.5780975455
29628,735283.7548130677
202216,2518806.223631558
194828,603398.7740817122
18649,1213059.643736787
199020,3316679.919441933
111554,461659.133042312
244687,4742025.230971525
230919,5058663.201635823
42397,4585184.753293962
221946,2548988.481088547
168390,838949.0033846262
175576,1500773.839046793
153541,1423818.8803581018
74055,2339924.2421891424
233828,5455973.389513792
131312,569935.5995470011
224154,4166351.3625534633
266743,605058.8155075263
15594,1162172.1511914167
227419,4418665.549227415
115531,4245012.727334456
12282,372766.6749632612
21847,1406239.0749620337
86772,660604.2688717763
193139,2040527.7119662147
100472,4353506.5130280545
177774,3509573.197088252
224462,3394268.1820471594
255020,2155396.6144543528
140852,3453233.069685926
6484,1424035.312556327
97191,2604808.0095530455
218796,6622518.614894243
146934,501519.74344094243
183990,1380461.997112853
150347,3288925.256294155
291295,8440744.522882763
175531,1986296.1563209987
80284,3332807.2142481166
64297,2027034.0364790645
221587,1073449.0402714473
145984,2728187.7594092027
266813,546368.52332761
53725,1214338.6868583667
171137,557484.8003367388
212764,864456.3728669971
30683,1213253.1103956646
204086,2205995.4793478255
78594,8127319.189907536
162787,1774479.475834165
212279,945927.4905437483
33141,558620.3599312847
13870,2979969.6903590714
205831,3462320.8989604814
285806,4454103.211434673
13820,637316.3749310308
198918,738463.77290381
165989,4869037.878504476
81377,1639232.9695593095
149867,588052.7359484513
192119,797098.0454872929
180210,940317.2404245501
147051,2344848.880852474
127638,3407346.7887721886
291867,1980983.9767816965
178582,8402339.736819575
127544,4371660.35993069
235717,4297182.2104154965
171723,516481.31394171243
161574,527493.974126239
75409,2349539.156828532
90035,819407.5553739743
42840,802371.0561886731
8581,7373956.549582804
13664,3954559.3504952136
247464,1208761.3889560448
