id,target
4941,6431551.5
51775,2364050.8
115253,5600691.5
299321,5035733.5
173570,2039589.9
30862,3652505.0
244471,5365681.5
127794,2445820.8
71558,5024475.0
218011,3417700.2
148208,6133594.5
155735,2576024.5
100698,5744514.5
241403,4496704.0
195272,7940020.0
238663,5791579.5
262957,6397508.5
207082,2709046.0
298896,2065559.5
220946,2791422.8
74581,3266153.5
253578,9002801.0
47620,5697680.0
92772,4573972.5
116904,2738541.5
208352,5019958.5
76044,3794210.2
202667,2955317.0
62134,5670981.5
277353,3643074.0
64194,6457857.0
295822,6509946.5
27391,8230497.5
203500,4401885.5
264505,4901964.5
297455,5941347.0
137985,2549468.0
47622,4526633.5
21911,3730089.2
94181,5729092.0
68117,4618379.0
39648,2859312.5
73722,4949885.5
133456,1585165.5
30763,8610455.0
58096,3266187.8
126979,3612941.5
149636,4318516.0
27810,7613926.0
272001,7609679.5
114617,6160966.5
190693,6121264.5
219814,4529561.0
67164,5120980.0
83961,1891204.5
254122,3572286.8
141378,7459634.5
151754,3747289.2
125013,5218532.0
273552,4176617.5
201853,5094884.5
99511,8388404.5
25140,8939422.0
7603,4016786.2
84095,3234095.0
84071,5600077.5
151177,3687153.0
294081,3298209.0
88694,5938582.5
99932,5272071.5
14442,2764451.0
162220,5896168.0
163631,4855942.5
49023,2616433.8
80644,9173923.0
274016,4330439.0
64876,3290731.5
156696,6541081.5
295991,8250010.0
192037,6537208.5
118765,4489283.0
94748,4265278.0
251764,4529954.5
60381,5299069.5
283938,3539427.0
195995,2336194.5
112778,6189777.0
76727,4931890.5
21435,4326649.0
17468,6448029.0
225673,6469131.0
79759,5424422.5
257599,3854346.2
270720,3434206.2
153801,5213368.5
92266,7408376.5
207329,6475007.0
243955,5307267.5
288928,5439746.5
186600,5531209.5
48005,2587026.8
212520,3481670.0
294075,2525578.0
131575,4753789.0
202057,6843648.5
239160,3385109.8
92611,4671063.5
268351,6448182.5
259109,4340937.0
265328,5159869.5
229144,3494203.8
261302,4253279.0
84117,5981422.0
31189,4924356.5
107254,5062100.5
192798,2065855.0
28083,4203590.5
118789,5008887.5
2152,6525809.5
287026,3545981.5
249169,4922206.5
137539,4354624.5
46291,2221472.5
30233,6900659.5
175145,4438344.0
50676,2441926.2
71570,2863168.0
219843,3996572.8
36279,3908485.0
66052,3241558.2
252609,5523002.5
24783,8079014.0
299327,6382785.0
95349,7808763.0
46332,3183612.0
91240,6280917.0
5445,4143146.8
272876,5741086.0
43811,2794318.0
217082,5644408.5
100370,5334456.0
258874,2704433.0
121949,3432274.5
212950,2349607.2
200057,4269413.0
229177,4153001.0
287838,2255145.5
213118,3881932.0
176475,3967756.0
118176,7184452.0
209024,2934635.0
221906,5318800.0
42493,6721765.5
223728,4441083.5
141993,6205783.0
55675,7405085.0
224087,4925634.5
83655,1525216.8
61917,4736904.5
153665,3687230.2
155758,6450329.0
190393,7406222.0
231050,2858720.8
201122,6059234.5
59267,3841876.0
262487,6670722.5
188582,6784260.5
131814,4303017.0
73949,6315068.5
154308,7995719.0
167194,2596590.0
277393,3816794.8
196835,2229867.2
91690,5893194.5
162086,5657439.5
231058,6259026.0
54120,7246638.0
247858,5984366.0
98092,4395299.5
271915,6423766.5
44677,4819270.0
56078,4824379.0
129375,6940258.5
133361,6946072.0
85866,5198935.5
191559,1941085.4
218728,4654362.0
208771,5863225.5
109195,5045203.5
39549,1622539.9
169828,7132799.0
57416,5997901.5
33193,6462311.0
173865,7384359.0
50919,4284962.0
108504,5157778.5
72963,4386083.5
270712,4488204.0
63504,3956247.0
26896,3122050.2
261152,3393979.8
8838,4158684.2
16064,5173854.0
107661,3411337.2
130161,5476130.0
179573,6502203.0
116121,2604394.5
32234,2305199.2
191736,2968103.8
57456,5704052.0
160502,4151357.5
215795,3033087.8
126714,6910340.0
173047,3243682.8
97726,5385449.5
193811,3890333.8
17156,3897675.5
71055,3766784.2
193990,1370414.5
52059,5847188.0
274757,5242705.5
1558,5680145.5
253081,3265191.2
181909,4869837.0
145269,3018293.8
186660,7759034.5
6479,3333868.0
249414,2882650.8
43182,4022985.2
248529,5086718.5
125724,7136596.0
214268,4756437.5
270767,6464283.5
141103,4526655.0
292203,6836864.0
62008,5084099.5
89122,2075258.1
47736,5877961.0
222505,6056906.5
29628,2529591.5
202216,5417330.0
194828,1847731.2
18649,6158716.5
199020,5703176.0
111554,1913240.1
244687,8601813.0
230919,5625342.0
42397,5616481.0
221946,3917127.2
168390,3219821.8
175576,3201133.0
153541,4241313.5
74055,6570434.5
233828,9707464.0
131312,2624816.0
224154,5399411.5
266743,1999482.6
15594,2035346.1
227419,9198032.0
115531,6961756.5
12282,1706100.6
21847,4811279.5
86772,2883610.5
193139,4280530.5
100472,7143166.5
177774,5203350.0
224462,6836929.0
255020,4453336.0
140852,4662189.5
6484,5152479.0
97191,5479886.0
218796,5319834.5
146934,2859432.2
183990,3648797.0
150347,5791049.5
291295,9933349.0
175531,5761385.5
80284,7424984.5
64297,4911262.5
221587,1948615.8
145984,3763369.5
266813,2068644.6
53725,3801900.0
171137,1769493.2
212764,3082442.0
30683,2522559.5
204086,6851778.5
78594,7972100.0
162787,3647068.0
212279,4126726.5
33141,2254586.5
13870,5069076.5
205831,5460427.5
285806,6308724.0
13820,2979192.0
198918,2184713.8
165989,6550564.0
81377,4716826.5
149867,2646884.0
192119,2393720.2
180210,3360477.5
147051,3581015.5
127638,3482294.2
291867,3953256.0
178582,6993224.0
127544,7159145.5
235717,8679751.0
171723,2105449.5
161574,1965054.8
75409,4877045.5
90035,2602579.5
42840,2448278.2
8581,9409837.0
13664,5283895.0
247464,5277428.5
96424,5050701.0
194898,7047575.5
283532,5649174.5
69531,5619540.5
237884,3726686.5
261893,5386245.5
150376,1824194.1
182443,5306422.5
224406,5460230.0
171332,3836698.8
140442,6530236.0
154939,5516333.0
131259,5326627.0
162293,3690861.0
292709,6685772.0
264845,5420911.5
166131,10208244.0
132328,5718300.5
208063,4879302.0
48322,6062153.5
16624,1472943.1
4734,2395967.5
189590,7639892.5
101739,4026574.0
111000,6348194.5
198444,1819336.4
16638,5349474.5
55638,8610931.0
258788,3507451.5
238820,7492116.5
115603,5239057.0
246939,3223167.5
191530,3203597.5
11213,4423583.5
27388,4211483.5
229061,3471243.0
251977,2374723.0
23366,5995648.5
10057,8453260.0
112593,3572750.2
268565,3232211.2
157455,6966086.5
59187,2501659.2
70372,4048498.8
126007,5544814.5
197380,2919881.2
271738,8596105.0
194635,4258104.5
165242,7270312.0
47838,2412667.0
29771,5994345.0
257199,3987797.2
61814,4632269.5
208348,6278994.5
191265,7827261.0
2157,6055399.0
188784,2589519.8
95787,3679733.8
238436,6181524.0
239163,6953389.5
295072,1834200.2
104338,6958198.5
291607,4207380.5
21708,5019173.5
143149,5556163.5
137148,4809729.0
78780,2200289.0
92536,4603823.5
271294,4465214.0
79847,6962115.0
274306,3362837.0
153714,4130892.5
117114,4773478.5
295580,4647828.0
153341,4182915.8
242231,2699369.8
17420,5466597.0
52376,5418291.0
71440,1813996.9
254000,3742849.8
199108,3963645.0
146464,5858519.0
154057,5347363.0
276394,5745473.5
106502,6024754.5
84374,3290941.8
253180,4095795.5
236365,3931292.2
182279,5315737.0
221109,5311343.5
289706,5487626.0
291438,5205122.0
71066,5769512.0
122789,6336956.0
194910,3366315.2
145391,4071583.2
199164,3581135.0
266382,3665800.5
271414,4354163.5
167801,3325735.5
61371,3339210.8
228790,2856843.0
290878,6211289.5
144980,3940823.0
119483,3038394.5
18604,6294073.0
138393,4345431.0
83163,7593187.5
77727,2467903.8
224928,7963483.0
28596,2464669.8
157996,7567523.5
108954,4562819.5
200857,6932717.0
72173,2425593.2
106183,2767017.5
12328,5296068.5
264481,7690016.5
96134,5125514.0
129425,6514592.0
80441,5524936.0
260522,3606160.0
72154,3054359.0
93234,4617692.0
58502,4171029.0
277308,3397613.2
151009,4223807.5
90763,2601616.8
275585,3399480.0
77424,3339306.2
50947,1654500.6
86003,8385749.0
202926,4852919.5
52894,5947730.5
152519,4868235.0
145898,4895372.5
133627,5845677.0
113025,2959271.2
216655,5544973.0
173878,7998411.0
73954,3307863.8
257397,2990763.8
103663,7663199.5
281910,4690897.5
104079,5025347.0
83563,4301999.5
28436,2672209.2
206395,2303432.5
239720,7493010.0
35659,3218716.5
267856,5159909.0
25953,4300929.0
108843,3404125.8
50565,4023791.0
241574,1813273.9
214651,2670056.8
14904,8706969.0
142217,5448765.0
53741,6335832.0
17917,4226342.0
46527,2100640.0
254258,6171757.5
117732,5105059.0
84721,5172433.0
283229,5277796.0
174501,4866554.5
122944,4441159.5
1934,2147409.8
275793,4273425.0
123228,4234192.5
24600,5813415.5
230991,4829208.0
56772,6811827.0
147503,1962150.4
85741,5097173.5
69716,4506118.5
264260,5689926.0
65737,2417176.2
99254,3013775.0
223411,4861359.5
116646,4495340.5
75954,2146496.8
125531,6422529.0
236312,6863105.5
76948,6778272.0
145527,6181884.0
164479,1521827.0
282478,4221810.0
110104,5785976.0
276716,3413260.5
21142,2487924.0
151238,1870169.8
286033,4357515.5
94009,1656458.4
109338,4756524.0
148928,2411937.5
286038,5984617.5
29163,4447093.0
202367,7205483.0
37813,5868523.0
55174,3833736.2
113507,2436945.2
200332,6972035.0
273190,6711805.0
242354,6273314.5
93315,2683714.5
265463,5376053.5
290432,1916854.4
237127,3829333.0
92371,5769831.0
32067,5122518.5
153031,5239561.5
211606,4372551.5
224439,8027457.0
12783,4469414.5
281291,2012176.6
281984,5489625.5
265609,3089973.8
230594,3286400.2
22981,5430049.0
68319,2623444.8
11283,3231394.5
32854,8930185.0
190653,2081861.1
154922,7688425.0
197081,2316138.0
128025,3432736.0
91677,2385290.8
136087,6377692.0
182705,1855028.5
279387,3104577.2
4956,5093626.0
157145,6626528.5
48688,3548051.8
249114,2941519.5
56226,4982731.5
36312,1717977.0
105698,4210600.0
229007,7143943.5
176855,6983234.0
22354,4572202.0
207970,4517947.5
297214,4675462.5
135511,7027970.5
260469,5595054.0
293208,3344019.5
134761,4231213.5
272312,3022629.0
145389,2723163.0
32197,4849819.5
186084,5654154.5
271387,1665925.6
132995,3857644.8
192595,1884589.6
290210,2616838.0
